"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,IMPRESSION:UNIQUE_USERS,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Comentarios negativos de los usuarios: Ocultar","Total de clics","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo","Clics en el enlace","Consumo de segmentación del público coincidente (Video Click)","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","CPM del anuncio (USD)","Impresiones del anuncio","Comentarios negativos de los usuarios: Ocultar todo"
697771945476922,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"El día de hoy, 16 de marzo del 2023, se inauguró el 13vo Ciclo de Conferencias de los Jueves de Ciencia, donde la Directora de la FIM, Dra. Araceli Celina Justo López, en conjunto de la Coordinadora de Investigación y Posgrado, Dra. Wendy Flores Fuentes, y la Encargada de Difusión y Divulgación-CIP, Dra. Mónica Isabel Soto Tapiz, participaron en la ceremonia de apertura.

Contando con el honor de el Dr. Oleg Sergiyenko, académico del Instituto de Ingeniería, abriera la temporada con la conferencia ""Mediciones Automáticas: de teoría a práctica"", donde se ilustró sobre el estado del arte en cuanto al proceso de automatización y robótica, demostrando el funcionamiento de diversos modelos de navegación de terreno e investigaciones dentro de la propia Institución.

#lafimcercadeti",0,"03/16/2023 19:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid0PXqp9de4yQGn8DAhP9xUJJDBMNTzMkzRC1M9ipdqgBwZ22nExsu1gior34EjYTLYl,0,0,Foto,,,,,Total,5218,3418,,54,50,3,1,,851,680,171,,,,,,,,
697783202142463,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"El día de hoy, Jueves 16 de marzo, la Sociedad de Alumnos se reunió con la Directora de la Facultad de Ingeniería - Mexicali, Dra. Araceli Celina Justo López, donde se hablaron acerca de las primeras necesidades de la población estudiantil, en conjunto de propuestas de mejora académica, cultural, ecológicas, deportivas, labores sociales, etc.

De esta forma, se fortalece la conexión entre los líderes de la Facultad y las voces del alumnado, dando fuerza e impulso a los planes de mejora de la FIM.

#lafimcercadeti",0,"03/16/2023 19:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid0fYEhwH15Ch3nmpRdTcmYy4LyQUY8CEYQ1uaNtxz6YAUES6SjJKybNs5KBDNgv93Pl,0,0,Foto,,,,,Total,20507,15974,,338,294,32,12,,7665,5103,2562,,,,,,,,
698226268764823,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Expresamos nuestras sinceras felicitaciones al personal académico de Facultad de Ingeniería Mexicali que hoy reciben su reconocimiento a la antigüedad laboral en la UABC.
¡ Enhorabuena para todos !",0,"03/17/2023 12:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid0uW92pG7hzVFuvgCv9CrW8wKnkyGKcnqice1MwPcjVCfPHnLHDo9mYe3omKrVxA24l,0,0,Foto,,,,,Total,11081,6147,,84,81,2,1,,1153,781,372,,,,,,,,
700100371910746,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Benito Juárez fue presidente de México entre 1858 y 1872 y dirigió al país en un momento decisivo de su historia, cuando las instituciones políticas y sociales estaban cambiando para fundar un nuevo sistema donde la máxima autoridad recayera en el Estado laico y donde cada persona pudiera gozar de derechos y libertades individuales, participar en la toma de decisiones y ver representadas sus demandas en la forma de gobierno.

A 217 años de su natalicio, recordamos al hombre que contribuyó tanto a forjar nuestro país como una nación moderna y libre, y cuya vida nos lleva a recorrer la historia de un siglo con olor a pólvora que transformó la faz de las sociedades de aquel tiempo y puso los cimientos del mundo en el que vivimos hoy.",0,"03/20/2023 19:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid097jHQ1PXNnwthqJ9gTBNV72qxb1FPj9wyYbRiw5nXahTs2xTAycJzJfT5v3wC8Wdl,0,0,Foto,,,,,Total,2019,1830,,11,10,0,1,,17,8,9,,,,,,,,
700457788541671,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Te invitamos a la charla: El diseño de procesos considerando la salud ocupacional.
Impartida por: Dra. Gabriela Jacobo Galicia
Perfil del expositor: M. C. en Calidad y Productividad, Dra. en Tecnología, Profesor-Investigador en la FIM-UABC.
¡¡NO te la pierdas!! 
Actividad con valor en créditos...lleva tu carnet.",0,"03/21/2023 09:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid02mSwM9G6nqHRRJkeyxo9qihVkd6dsX5L9mRNyceFb4sYPbSkJCHXDj6JTCe7kge5el,0,0,Foto,,,,,Total,4133,3854,,45,42,1,2,,274,209,65,,,,,,,,
701573631763420,422553107793433,"Facultad de Ingeniería UABC Mexicali","Invitan estudiantes de Ingeniería de la UABC a seminario “El Ingeniero Ideal”",,0,"03/23/2023 09:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid0hCZV1GKPsA8S4Wb4tdfKzwq2VRvw8bo135Rf4fw1Jugpyp4scBi3xiDqmKF4MmVfl,0,0,Enlace,,,,,Total,3163,2884,,29,26,2,1,,165,,93,72,,,,,,,
701620615092055,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,78,"03/23/2023 11:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid02dqWZr5TkNA9bFsAFeLkRSwGRjF1fEog1fZEjKony14eyz9TNcoZZyyTJ8cNtwQFWl,0,0,Video,,,,,Total,1511,1229,,12,11,0,1,,83,,51,,32,4862.44,4.341,0,0,0,
702738761646907,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Este viernes 24 de marzo, se realizó la Ceremonia de Toma de Protesta de los Consejos de Vinculación de las Unidades académicas de la UABC - Campus Mexicali.

Nos acompañaron en esta celebración miembros del Consejo de Vinculación de la FIM, conformado por docentes y profesionistas de la industria, sector empresarial y gubernamental, incluyendo a la Presidenta del Consejo y Directora de la FIM, Dra. Araceli Celina Justo Lopez",0,"03/25/2023 13:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid02FeuVbDHmQDxcBJT3Wf9CbHNTiax3iSwEdCdC6CSBMYBBBUJ35ihP2Fn1x7Nz5NjKl,0,0,Foto,,,,,Total,5378,4946,,45,45,0,0,,987,791,196,,,,,,,,1
703415138245936,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Este sábado 25 de marzo, se celebró el cierre del curso de ""Desarrollo de Aplicaciones Móviles para iOS"", realizado por el Programa Educativo de Licenciatura en Sistemas Computacionales y forma parte del catalogo de cursos que se ofertan por el departamento de Educación Continua de la FIM contando con participantes a múltiples docentes de CECyTE-BC. Dónde nuestra Directora, Dra. Araceli Celina Justo Lopez, nos acompañó en el evento, fortaleciendo las relaciones exteriores entre academias y abriendo diferentes áreas del conocimiento y oportunidades a la comunidad.",0,"03/26/2023 20:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid02XQ1eexGXLj3HnyWhjVaMcoZHasyBjQiRkXKxivtPkg3fDgXv2TiSefXEZEiKp8Sxl,0,0,Foto,,,,,Total,6794,4607,,36,33,1,2,,689,541,148,,,,,,,,
703689178218532,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Comunidad FIM: 
Están cordialmente invitados
Charla: Un paseo por las matemáticas
Impartida por: Dra. Ana Dolores Martínez Molina
Perfil del expositor: Ing. en Electrónica con especialidad en Biomédica, M. C. en Redes e Informática, Dra. en Tecnología, Profesor-Investigador en la FIM-UABC.
¡¡NO te la pierdas!! 
Actividad con valor en créditos...lleva tu carnet.",0,"03/27/2023 09:03",N/A,https://www.facebook.com/fimuabc/posts/pfbid029A2Ey3LdSLPZvk3gMBb18Zkeh9Peg9qq3WyFnF1p4nQRofNjgfr5dyX7YUEPvHsJl,0,0,Foto,,,,,Total,3264,3032,,28,26,0,2,,165,145,20,,,,,,,,
