"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Total de clics","Consumo de segmentación del público coincidente (Photo Click)","Clics de otro tipo","Clics en el enlace","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","Comentarios negativos de los usuarios: Ocultar todo","CPM del anuncio (USD)","Impresiones del anuncio"
811990220721760,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"¡La plataforma para participar en las Journées Québec MEXIQUE ya está abierta!

Hay cerca de 500 vacantes disponibles dentro de los sectores siguientes:

Construcción
Industria aeroespacial
Mecánica
Transformación de alimentos
Fabricación y mecanizado
Industria forestal y maderera
Salud
Hotelería y hostelería
Ingeniería
Tecnologías de la información
 
Visita la plataforma para que revises a detalle las vacantes disponibles, así como los requisitos para postular a cada una de ellas. Recuerda que tu candidatura deberá de estar redactada en francés para que sea tomada en cuenta. 

 

La fecha límite para aplicar es el 23 de octubre de 2023. No te pierdas este video tutorial que te mostrará el paso a paso para enviar tu candidatura satisfactoriamente.
 

Recuerda, este evento es completamente gratuito y no necesitas intermediarios para crear tu perfil. Únicamente los candidatos seleccionados serán convocados a entrevista presencial en la Ciudad de México*. El periodo de entrevistas se llevará a cabo los días 25 y 26 de noviembre de 2023.     
 

De manera adicional, te invitamos a que te inscribas a una de las siguientes conferencias virtuales para que aclares tus dudas sobre las Journées Québec MEXIQUE: 
 
Webinar multisectorial - Journées Québec MEXIQUE: 
Jueves 28 de septiembre de 2023 a las 6 pm (hora del centro de México) 

Webinar sobre el sector salud - Journées Québec MEXIQUE:
Jueves 5 de octubre de 2023 a las 6 pm (hora del centro de México) 

Webinar multisectorial - Journées Québec MEXIQUE: 
Jueves 12 de octubre de 2023 a las 6 pm  (hora del centro de México) 

Webinar multisectorial - Journées Québec MEXIQUE:
Jueves 19 de octubre de 2023 a las 6 pm  (hora del centro de México) 

Por favor, inscríbete únicamente a una sesión.
Síguenos en Facebook para que no te pierdas ninguna novedad sobre las Journées Québec MEXIQUE.
 

¡Te deseamos mucho éxito! 
 

El comité organizador de las Journées Québec.",0,"10/06/2023 17:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid0ePcsrtFejjTw2nGxAsKuKhq7bn8iWD84ppXwCJZJgGhrq984ytadXpAtE4kYKBZEl,0,0,Texto,,,,,Total,3163,2700,9,7,0,2,28,,28,,,,
811990430721739,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"10/06/2023 17:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid0RNDK12kZCt8CNzCg7aSiw6Df7wUSpmWqDQ4hPDBiiiDHo5QLo3EtyBXCzf4JjZ8Al,0,0,Foto,,,,,Total,2286,1910,4,4,0,0,25,17,8,,,,
811992210721561,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Estimada Comunidad de la Facultad de Ingeniería:
Les hacemos llegar la cordial invitación para que participen en las actividades de la ""Semana del 56 Aniversario de la Facultad de Ingeniería"" que se llevarán a cabo del 10 al 13 de octubre del presente año. Los invitamos a presenciar la inauguración a realizarse en nuestra explanada central el día Martes 10 de octubre a las 9:30 am.
Muchas gracias de antemano por su apreciable asistencia, participación y colaboración.
¡Felicidades a todos por estos 56 años!",0,"10/06/2023 17:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid023xbtRgGf97pzDbmqKqb52Wpuu4BHNaEWVwv82s8dZKWT39dJDBsxzDYEjceLEKp8l,0,0,Foto,,,,,Total,2666,2246,20,17,0,3,28,20,8,,,,
812565993997516,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Este viernes 6 de octubre se realizó la Ceremonia de Egreso de la Generación LXVII de Licenciatura en Sistemas Computacionales, donde 6 Cimarrones finalizaron su transcurso en el Programa Educativo de Licenciatura en Sistemas Computacionales en la Facultad de Ingeniería - Mexicali, siendo seleccionada por los estudiantes como Madrina de Generación a la M.C. Mónica Cristina Lam Mora y como Mtros. Distinguidos a los docentes: Dr. Juan Pablo García Vázquez, Dr. Héctor Zatarain Aceves y M.C. José Alfredo Abad Padilla. 

Agradecemos a nuestra Directora, Dra. Araceli Celina Justo Lopez , a nuestra Subdirectora, M.C. Gloria Etelvina Chávez Valenzuela, y al Responsable del Programa Educativo, Dr. Jesús Eduardo Soto Vega, por su asistencia a la ceremonia y dar sus generosas palabras de despedidas a la generación.

Felicitamos a las nuevas generaciones de Cimarrones que egresan de UABC en la Facultad de Ingeniería - Mexicali, con la preparación y la determinación para el desarrollo de una carrera profesional próspera para alcanzar la realización plena del ser. Los invitamos a hacer los mejores Licenciados en Sistemas Computacionales que se pueda ser.
#SOMOSFIM",0,"10/07/2023 16:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid02LzquzPEA7d48AnjxxMWwViuBoUAhGdsq8GLgNvecFhcPxnJNtQHeTJF8y9BK9Q46l,0,0,Foto,,,,,Total,5370,4487,52,51,0,1,1010,757,252,1,,,
813667030554079,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Investigación y Posgrado FIM UABC
CONFERENCIA DE ANIVERSARIO #JdC⚛️
Perfil del expositor invitado: Ing. en Electrónica por la UABC, M.C. en el área de física aplicada con especialidad en óptica y ultrasonido por el CICESE, Dr. en Ciencias por la Universidad de Nottingham (UK), Profesor asociado en el Depto. de Ingeniería Eléctrica y Electrónica de la UN.
Su más notable contribución es el desarrollo del Microscopio de Fonones, el cual emplea ultrasonido a nanoescala y ofrece la capacidad de caracterizar las propiedades elásticas de células con alta resolución: 
https://nottingham-repository.worktribe.com/output/832825/high-resolution-3d-imaging-of-living-cells-with-sub-optical-wavelength-phonons?fbclid=IwAR0hYCrae572aJ_WkWKO_87-cvl0QTvui05u2iIFwq-6pmNT0PN9JPJICQs",0,"10/09/2023 12:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid02nguaQpUGdT1cE4mcJ1uSDgRfporqeLatNc6LYip2oryCWJGVX1jxzwjy9tgWZEeEl,0,0,Foto,,,,,Total,2129,1959,2,2,0,0,23,12,8,3,,,
813694757217973,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Este sábado 7 de octubre se llevó a cabo con gran orgullo el NASA Space Apps Mexicali 2023, el gran Hackathon realizado en más de 170 ubicaciones en todo el mundo, formando equipos para resolver desafíos propuestos por la NASA y agencias espaciales colaboradoras.

Cimarrones se reunieron en las instalaciones de UABC Campus Mexicali, Instalaciones del DIA, coordinado por la administración de la Facultad de Ingeniería Campus Mexicali y RAMS Aerospace.

Agradecemos la honrosa presencia y palabras de las autoridades que asistieron al evento siendo el Rector de la UABC, Dr. Dr. Luis Enrique Palafox Maestre - Rector UABC, el Vicerrector de UABC Mexicali, Dr. Jesus Adolfo Soto Curiel, nuestra Directora, Dra. Araceli Celina Justo Lopez, la Representante del Programa Educativo de Ing. Aeroespacial, Dra. Virginia García Ángel, y al Responsable del Área de Vinculación del Club RAMS Aerospace, Juan de Dios Zavala Villanueva.

¡Misión completa, cimarrones!",0,"10/09/2023 13:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid02To6Kv1pZXbKc8Fx7JsAvDpmBFjikYTfi5SdLGHRbeDh6C3XDLDDUgqVjb9BKCyoxl,0,0,Foto,,,,,Total,10288,8214,261,239,8,14,1930,1251,679,,,,
813809230539859,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Este viernes 6 de octubre se realizó la Ceremonia de Egreso de la Generación XXI de Ingeniería en Energías Renovables, donde 13 Cimarrones finalizaron su transcurso en el Programa Educativo de Ingeniería en Energías Renovables en la Facultad de Ingeniería - Mexicali, siendo seleccionada por los estudiantes como Madrina de Generación a la Dra. Marlene Zamora Machado, quien nos acompaño a la distancia desde la XLVII Semana Nacional de Energía Solar, y como Mtros. Distinguidos a los docentes: Dr. Alejandro Adolfo Lambert Arista, Dr. Alexis Acuña Ramírez y Dr. José Alejandro Suástegui Macías. 

Agradecemos a nuestra Directora, Dra. Araceli Celina Justo López, a nuestra Subdirectora, M.C. Gloria Etelvina Chávez Valenzuela, por su asistencia a la ceremonia y dar sus generosas palabras de despedidas a la generación.

Felicitamos a las nuevas generaciones de Cimarrones que egresan de UABC en la Facultad de Ingeniería - Mexicali, con la preparación y la determinación para el desarrollo de una carrera profesional próspera para alcanzar la realización plena del ser. Los invitamos a hacer los mejores Ingenier@s en Energías Renovables que se pueda ser.",0,"10/09/2023 19:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid02By5BVdA9Veti4f6Q2ThMVZYWAMhJp6GMQKjL4HHG4xe2snTQW6M9Ef1DvDZqtsXql,0,0,Foto,,,,,Total,7289,6162,79,72,2,5,1040,733,307,,,,
813814910539291,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Este viernes 6 de octubre se realizó la Ceremonia de Egreso de la Generación XLIV de Ingeniería Industrial, donde 56 Cimarrones finalizaron su transcurso en el Programa Educativo de Ingeniería Industrial en la Facultad de Ingeniería - Mexicali, siendo seleccionada por los estudiantes como Madrina de Generación a la Dra. Olivia Yessenia Vargas Bernal y como Mtros. Distinguidos a los docentes: Dr. Luz del Consuelo Olivares Fong, Dra. Mildrend Ivett Montoya Reyes y M.C. Juan Ceballos Corral.
Agradecemos a nuestra Directora, Dra. Araceli Celina Justo Lopez, a nuestra Subdirectora, M.C. Gloria Etelvina Chávez Valenzuela por su asistencia a la ceremonia y dar sus generosas palabras de despedidas a la generación.

Felicitamos a las nuevas generaciones de Cimarrones que egresan de UABC en la Facultad de Ingeniería Mexicali, con la preparación y la determinación para el desarrollo de una carrera profesional próspera para alcanzar la realización plena del ser. Los invitamos a hacer continuar mejorando el mundo con sus aprendizajes, habilidades y conocimientos únicos como Ingenieros Industriales. 
#SOMOSFIM",0,"10/09/2023 19:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid033vxnnBQmwWPpiBj5zVDPKKWWpgHs5zvxdMrnYzktN1K1LcfUTLTXWa3V4EUstPkcl,0,0,Foto,,,,,Total,6417,5318,51,49,0,2,511,339,172,,,,
814236713830444,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Estimada Comunidad de la Facultad de Ingeniería:
Les hacemos llegar la cordial invitación para que participen en las actividades de la ""Semana del 56 Aniversario de la Facultad de Ingeniería"" que se llevarán a cabo del 10 al 13 de octubre del presente año. 
¡Felicidades a todos por estos 56 años!",0,"10/10/2023 12:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid0gMk5TSK33ZSE9CH3iVzkz3TYTd8z6W9thaYvNXdVgM1MTULrrPh4ReWufik4d46yl,0,0,Foto,,,,,Total,2800,2447,4,3,0,1,149,121,28,,,,
814444200476362,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado","¡Gracias a nuestro Vicerrector, Dr. Jesus Adolfo Soto Curiel, por su honorable participación en nuestro aniversario!",0,"10/10/2023 21:10",N/A,https://www.facebook.com/fimuabc/posts/pfbid0vEd4ALM8xxajm6AuwYWZAUb6uzkQqcJzGQ4SPCaZMCHUgknMcXGFZzcEHXVpHTZ3l,0,1,Foto,,,,,Total,2808,2627,17,17,0,0,393,304,89,,,,
