"Identificador de la publicación","Identificador de la página","Nombre de la página",Título,Descripción,"Duración (segundos)","Hora de publicación","Tipo de subtítulo","Enlace permanente","Es una publicación cruzada","Es una publicación compartida","Tipo de publicación",Idiomas,"Etiquetas personalizadas","Estado de contenido financiado","Comentario sobre los datos",Fecha,Impresiones,Alcance,"Reacciones, comentarios y veces que se compartió",Reacciones,Comentarios,"Veces que se compartió","Comentarios negativos de los usuarios: Ocultar","Comentarios negativos de los usuarios: Ocultar todo","Total de clics","Clics de otro tipo","Clics en el enlace","Consumo de segmentación del público coincidente (Photo Click)","Consumo de segmentación del público coincidente (Video Click)","Segundos reproducidos","Segundos en promedio reproducidos","Ingresos estimados (USD)","CPM del anuncio (USD)","Impresiones del anuncio"
573208594599925,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"¡Muchas Felicidades a los alumnos de la FIM del programa educativo de Civil!",0,"09/26/2022 09:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02uGpCeK93JN9mNfbGfApqzn2VPFmTAoSWtN87z3Wpat9hDK58iDZrB3FsWmHRgkLal,0,0,Foto,,,,,Total,3492,3211,110,102,1,7,1,,227,99,,128,,,,,,
572006721386779,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Anunciamos los equipos ganadores del Rally Latinoamericano de Innovación en la sede Facultad de Ingeniería UABC. Muchas Felicidades a todos los equipos participantes por todo su esfuerzo y trabajo y un extra reconocimiento a los ganadores del 1ero, 2do y 3er lugar. ¡Enhorabuena !!!!",0,"09/24/2022 20:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid029xSFDwTkA8QSmqchF2h2T44hbvd9hYvaSnD4DSSXS9DKFKFLcZr47eXPDKznrJ6Pl,0,0,Foto,,,,,Total,13176,11205,494,437,32,25,1,,2503,1151,3,1349,,,,,,
571817728072345,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"Rally Latinoamericano 2022: Es una competencia internacional que tiene como propósito fomentar la innovación abierta en estudiantes universitarios de Latinoamérica y que se desarrolla por equipos durante 28 horas consecutivas los días 23 y 24 de septiembre de 2022. En esta edición las sedes podrán trabajar en modalidad presencial y/o virtual, dependiendo de las condiciones epidemiológicas.

La Facultad de Ingeniería es sede desde 2019 , estamos celebrando  la novena edición del rally latinoamericano.      
Tenemos 182 alumnos participantes acompañados de 27 mentores de la FIM. ¡Éxito a todos!",0,"09/24/2022 13:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid025bwdcc9uc5oerf53QVFBcU9ck5Zqu6XYWuJCbB3b6nq71hNLYzoeEyvji71o9seNl,0,0,Foto,,,,,Total,8059,7775,155,141,4,10,1,,2377,924,,1453,,,,,,
571126248141493,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado","https://fb.watch/fK4-wVfmxt/

Inauguración Rally Latinoamericano de Innovación edición 2022.
¡ÉXITO A TODOS NUESTROS ALUMNOS Y DOCENTES PARTICIPANTES !",85,"09/23/2022 18:09",auto,https://www.facebook.com/fimuabc/posts/pfbid027kLGdSoD1zEG5tRspA6VMovtie8SjajEqetM9NqT2qUFXNokgZqtenVsxUquY3cdl,0,1,Video,,,,,Total,986,901,14,14,0,0,1,,90,86,4,,,,,,,
570447291542722,422553107793433,"Facultad de Ingeniería UABC Mexicali",,,0,"09/22/2022 21:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0pgfrDdkSHve4gyD7LSAuvE9LhTYY8hJQbqFXkouacHaTeBhvbCTVAm3JRmfLW1pYl,0,0,Foto,,,,,Total,2914,2715,26,24,0,2,1,,255,28,,227,,,,,,
570369788217139,422553107793433,"Facultad de Ingeniería UABC Mexicali","Actualización de estado","https://m.facebook.com/story.php?story_fbid=501305402002148&id=100063680763621&sfnsn=scwspwa

Comunidad FIM: Los invitamos a ver la participación de la región norte de los capítulos estudiantiles de la Asociación Mexicana de Hidráulica, A.C. y apoyar a la alumna Karla Gabriela González Salcido de la FIM con un like. Gracias.",0,"09/22/2022 18:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0EuDswNJ5VEH9nukPJp4XRoSCMKGGYv5nmxpZrTrJa7tbHkAtbRERfNa85TTsZkNNl,0,1,Foto,,,,,Total,1457,1314,2,2,0,0,1,,75,24,,51,,,,,,
570356301551821,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"La FIM se enorgullece en felicitar al Ingeniero Pablo Hernández Jaramillo por la obtención del grado Maestría en Ciencias, aprobado con mención honorífica, con el tema  ESTUDIO COMPARATIVO DE TÉCNICAS DE INTELIGENCIA ARTIFICIAL PARA EVALUAR VIABILIDAD EN CÉLULAS DE CÁNCER DE MAMA CULTIVADAS IN VITRO. 
DIRECTOR DE TESIS: DR. DANIEL HERNÁNDEZ BALBUENA
CO DIRECTORA: DRA. ANGELICA LÓPEZ IZQUIERDO
Con el apoyo del Comité de tesis integrado por Dra. Wendy Flores Fuentes, Dr. Oleg Sergiyenko y Dra. Blanca Dalila Pérez Pérez. 

¡Enhorabuena!",0,"09/22/2022 18:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid0wNFuE8wgv8xf23mEY3QuoaufHyq6u8j3mBKAH8MXnPAY2i9ziMAFwZ12c9PsPC8Bl,0,0,Foto,,,,,Total,7941,7402,201,186,10,5,1,,2397,639,,1758,,,,,,
570261474894637,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"¡Buenas tardes a todos!...los estamos invitando al Súper Reciclatón una actividad enfocada a recolectar sólo residuo de archivo muerto… ¿Y qué es el archivo muerto?…es aquel residuo que ya no usamos y tiene valor en la cadena circular que podría ser parte de productos nuevos como:
Hojas Blancas, Papel de color, Sobres, Folders, Notas/Post it, Libros, Cuadernos, Revistas, Periódico, Agendas, Revistas, Publicidad Obsoleta.
PAPEL NO ACEPTADO: No papel Carbón, No envolturas de comida, no papel contaminado con residuos de comida, no etiquetas adhesivas, no papel higiénico, no servilletas, no fotografías.
¡Apoya y participa donando del 14 al 30 de septiembre!!
Se parte del cambio!!
SER UNIVERSITARIO ES SER LIMPIO!! 
Con esta actividad apoyas a los impactos ambientales positivos a nuestro planeta y a contribuir a lograr los Objetivos de Desarrollo Sostenible de la ONU.",20,"09/22/2022 14:09",N/A,https://www.facebook.com/fimuabc/posts/pfbid02HDDtc46V199view3EHbzJZwf3oHLWfwy5YJK6eJ8bBkCD1Ydg5XjSvxouYbhGdoVl,0,0,Video,,,,,Total,1011,918,26,25,0,1,1,,200,125,1,,74,11071.758,9.43,0,0,0
570261041561347,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"¡Buenas tardes a todos!...los estamos invitando al Súper Reciclatón una actividad enfocada a recolectar sólo residuo de archivo muerto… ¿Y qué es el archivo muerto?…es aquel residuo que ya no usamos y tiene valor en la cadena circular que podría ser parte de productos nuevos como:
Hojas Blancas, Papel de color, Sobres, Folders, Notas/Post it, Libros, Cuadernos, Revistas, Periódico, Agendas, Revistas, Publicidad Obsoleta.
PAPEL NO ACEPTADO: No papel Carbón, No envolturas de comida, no papel contaminado con residuos de comida, no etiquetas adhesivas, no papel higiénico, no servilletas, no fotografías.
¡Apoya y participa donando del 14 al 30 de septiembre!!
Se parte del cambio!!
SER UNIVERSITARIO ES SER LIMPIO!! 
Con esta actividad apoyas a los impactos ambientales positivos a nuestro planeta y a contribuir a lograr los Objetivos de Desarrollo Sostenible de la ONU.",4,"09/22/2022 14:09",uploaded,https://www.facebook.com/fimuabc/posts/pfbid0276ex8HmrtkCd7QMusVjhP2Ln993RYhMAsZqB1AMfC8h2RZRHjEKuYaQN1LZDi9Hhl,0,0,Video,,,,,Total,1120,948,24,17,1,6,1,,106,88,,,18,4149.229,4.495,0,0,0
570260404894744,422553107793433,"Facultad de Ingeniería UABC Mexicali",,"¡Buenas tardes a todos!...los estamos invitando al Súper Reciclatón una actividad enfocada a recolectar sólo residuo de archivo muerto… ¿Y qué es el archivo muerto?…es aquel residuo que ya no usamos y tiene valor en la cadena circular que podría ser parte de productos nuevos como:
Hojas Blancas, Papel de color, Sobres, Folders, Notas/Post it, Libros, Cuadernos, Revistas, Periódico, Agendas, Revistas, Publicidad Obsoleta.
PAPEL NO ACEPTADO: No papel Carbón, No envolturas de comida, no papel contaminado con residuos de comida, no etiquetas adhesivas, no papel higiénico, no servilletas, no fotografías.
¡Apoya y participa donando del 14 al 30 de septiembre!!
Se parte del cambio!!
SER UNIVERSITARIO ES SER LIMPIO!! 
Con esta actividad apoyas a los impactos ambientales positivos a nuestro planeta y a contribuir a lograr los Objetivos de Desarrollo Sostenible de la ONU.",147,"09/22/2022 14:09",uploaded,https://www.facebook.com/fimuabc/posts/pfbid0oepiSa9wYhajoRQqU55JiPjbG8wJwj4ka5aXhNdL5EXjT57G21Y6hkXed73am3eYl,0,0,Video,,,,,Total,1231,1033,32,24,1,7,1,,90,84,,,6,8168.82,8.201,0,0,0
