Mes,Dia,Year,Hora,Impresiones,Alcance,Comentarios,Compartidos,Clics,Reacciones
9,5,2023,1089,1536,1368,0,0,44,9
11,3,2023,1271,5084,4694,3,0,385,56
1,26,2022,841,25,25,0,0,0,2
1,12,2023,541,4231,3499,20,0,1,21
2,15,2022,482,381,337,17,9,16,19
5,18,2022,545,438,381,2,1,5,7
3,13,2023,963,4751,4299,35,0,6,41
9,26,2023,1029,2493,2184,0,0,139,12
4,25,2022,544,93,87,0,1,0,0
5,2,2023,725,6319,4196,12,14,928,101
1,29,2023,901,5515,4578,33,0,6,39
9,18,2023,489,3533,3264,0,6,150,28
2,14,2022,842,32,31,0,0,0,0
3,17,2022,663,42,40,0,0,0,0
5,29,2023,545,1894,1531,0,1,11,0
3,6,2023,1023,5165,4785,60,2,2,64
9,15,2022,1389,4506,4196,0,0,1,27
10,12,2022,610,4774,4203,4,4,1,134
1,10,2022,1021,58,53,0,1,6,7
5,12,2023,725,5011,3714,0,3,435,23
4,26,2022,724,194,174,0,1,2,3
5,6,2022,1025,202,184,0,0,0,0
4,4,2022,1144,58,55,0,0,1,0
2,8,2023,542,2608,2234,5,1,3,9
4,13,2023,604,1842,1617,4,0,40,7
2,1,2023,482,1298,1091,0,0,0,0
4,13,2023,604,2666,2518,9,4,179,75
3,8,2022,543,107,100,0,8,0,17
4,11,2023,844,3072,2815,0,0,274,6
5,3,2022,1025,180,160,0,1,0,4
10,28,2022,550,14435,12923,127,22,1,593
2,3,2022,542,27,27,0,1,0,8
3,9,2022,903,38,38,0,0,0,11
1,13,2023,781,4679,3941,8,0,1,9
5,18,2023,545,2446,2071,0,0,51,3
3,17,2022,543,238,219,0,3,7,2
4,5,2022,544,84,81,0,3,1,2
5,11,2023,785,2337,1737,0,1,18,3
5,25,2022,485,1139,909,0,2,10,4
5,23,2022,485,585,503,2,5,1,41
1,11,2023,601,6355,5408,16,4,3,23
9,28,2022,489,1097,1005,0,1,1,1
5,24,2023,545,2567,2178,0,0,71,3
2,8,2022,782,26,26,0,0,0,3
9,26,2022,549,3492,3211,1,7,1,102
12,8,2023,552,3334,2584,0,0,65,19
2,16,2022,602,30,30,0,0,0,0
8,1,2023,668,4478,4053,0,0,395,35
3,31,2022,723,53,49,0,0,2,6
10,24,2022,610,3638,3482,1,2,1,47
10,3,2023,550,4623,4082,0,7,519,38
6,14,2023,1026,5152,4180,5,1,226,47
4,26,2022,1024,89,83,0,0,1,0
5,31,2023,1085,2810,2118,3,8,69,12
12,4,2023,672,1823,1410,0,0,9,5
3,29,2022,603,56,54,0,0,0,21
7,3,2023,547,20416,15527,16,26,2326,398
11,16,2023,851,3450,3067,0,1,148,4
5,18,2022,1085,1374,1096,1,7,53,43
9,22,2022,849,1231,1033,1,7,1,24
5,26,2023,605,6089,4869,0,0,1046,26
8,21,2023,488,8081,6426,1,11,1239,82
12,24,2022,492,3466,2477,0,0,1,12
9,18,2023,969,2610,2360,0,0,58,8
4,20,2022,604,85,79,2,2,0,12
4,26,2022,1024,101,95,0,0,0,0
5,11,2023,605,1902,1418,0,0,16,0
4,29,2022,544,109,102,0,0,0,0
10,9,2023,730,2129,1959,0,0,23,2
5,2,2022,905,237,213,0,2,0,1
6,12,2023,846,5180,4127,3,2,425,52
10,11,2022,490,9635,8458,117,12,1,337
2,16,2023,1022,3921,3515,3,1,2,6
2,28,2023,842,2118,1902,11,0,1,12
4,8,2022,544,63,60,0,0,1,2
6,6,2023,1026,3986,3090,1,2,158,46
5,3,2022,785,151,139,0,1,0,2
6,29,2023,1086,6626,5744,10,4,679,30
2,11,2022,542,100,87,0,18,1,49
2,11,2023,1202,3610,3154,75,1,4,80
12,4,2023,552,5256,4150,2,4,375,50
2,2,2023,962,1949,1524,8,0,0,8
6,9,2022,906,16122,11495,11,19,1627,144
3,27,2022,963,225,195,1,10,4,12
8,10,2023,668,2957,2504,1,3,65,12
3,2,2023,903,9037,7090,92,12,8,112
