@relation DatasetLimpioFormateado

@attribute Mes numeric
@attribute Dia numeric
@attribute Year numeric
@attribute Hora numeric
@attribute Impresiones numeric
@attribute Alcance numeric
@attribute Reacciones numeric

@data
2,2,2023,962,1949,1524,8
6,9,2022,906,16122,11495,144
3,27,2022,963,225,195,12
8,10,2023,668,2957,2504,12
3,2,2023,903,9037,7090,112
6,7,2023,726,9828,7004,174
4,18,2022,484,68,65,0
6,22,2023,786,4349,3434,5
10,23,2023,550,2076,1915,0
11,14,2023,491,8245,7026,12
3,31,2023,903,2508,2267,60
3,11,2022,1023,98,95,16
3,13,2023,843,4940,4443,23
4,26,2023,1084,4451,4127,90
11,14,2023,491,2091,1867,2
5,24,2023,485,2352,1988,5
11,25,2023,971,2,2,2
6,27,2023,546,3091,2559,2
10,31,2023,610,1305,1161,2
8,25,2023,1328,2344,1928,15
1,3,2023,901,3193,2273,1
5,20,2022,485,463,397,1
7,1,2023,787,15359,12916,600
6,29,2023,1086,6852,5881,51
3,24,2022,723,138,132,17
2,14,2023,1022,4219,3827,83
10,13,2023,550,2492,2181,4
6,21,2023,966,5919,4859,29
8,23,2023,1028,3382,3041,16
2,24,2023,602,1825,1528,6
5,24,2023,1025,3244,2580,16
11,10,2023,671,1636,1464,0
9,7,2023,909,5338,4880,127
2,16,2022,902,30,30,0
6,28,2023,666,3357,2745,2
8,3,2023,668,9483,7756,37
5,23,2023,785,5347,4684,44
5,6,2022,545,318,260,6
6,6,2023,846,3737,2929,34
12,25,2022,12,5037,3515,99
6,29,2022,1026,4379,2577,2
4,26,2022,1024,100,94,0
10,17,2023,910,2341,2141,32
5,25,2023,965,3803,3168,13
5,24,2022,725,766,634,0
3,16,2023,1143,5218,3418,54
6,18,2022,606,5979,3808,65
5,30,2023,485,12527,10359,709
10,16,2023,970,8242,7112,61
6,22,2023,486,3631,2792,15
8,15,2023,848,1780,1554,1
3,29,2022,903,61,58,5
10,12,2022,550,2741,2267,83
4,20,2023,544,2065,1794,10
1,26,2022,1261,21,21,2
10,5,2023,970,3248,2693,32
2,28,2023,1022,2425,2219,4
9,28,2022,489,1410,1275,2
7,7,2023,667,5340,3893,15
3,31,2023,1203,8384,5432,96
9,11,2023,729,1818,1384,6
8,7,2023,968,1332,1162,5
2,1,2023,482,5480,5014,27
3,11,2022,663,145,134,47
2,24,2023,542,1863,1643,10
6,13,2023,606,7307,6132,198
2,8,2023,542,3414,2896,32
10,17,2022,910,2119,1977,6
6,13,2022,546,7172,4744,11
9,14,2022,909,1443,1216,5
8,8,2023,968,6202,5562,15
3,23,2023,663,1511,1229,12
5,18,2023,785,11016,8044,168
9,29,2022,849,1323,1207,1
6,13,2023,606,2659,2011,5
10,31,2023,1030,15431,13036,281
12,7,2023,1032,5235,4487,88
2,7,2023,542,3867,3477,16
2,26,2023,602,1812,1533,7
9,13,2022,489,3550,3136,4
2,13,2023,722,3265,2929,7
4,10,2023,544,5753,5420,41
10,16,2023,1210,8116,6779,89
4,10,2023,544,3548,2971,6
9,21,2023,849,7693,5437,17
11,15,2023,1031,3442,3058,57
1,24,2023,721,15113,11236,187
6,4,2023,786,4460,3720,8
2,24,2023,1142,4917,3504,170
3,29,2023,963,9842,6831,93
1,24,2023,721,3006,2792,12
4,26,2022,1024,88,83,0
9,30,2023,729,6482,6117,92
3,4,2023,1143,4128,3834,31
4,26,2023,1084,1512,1360,0
10,23,2023,970,1366,1209,1
10,6,2023,490,2439,1833,15
9,29,2023,489,2710,2369,15
5,24,2023,905,2291,1880,4
2,16,2023,542,1494,1223,8
11,27,2023,731,7604,6412,123
4,1,2022,964,130,117,1
8,14,2023,728,3645,3058,23
7,31,2023,1267,3488,3126,8
4,1,2022,904,61,58,3
8,2,2023,488,3074,2656,5
7,31,2023,787,2811,2504,3
3,31,2022,903,51,48,17
3,17,2023,723,11081,6147,84
1,19,2023,661,2179,1813,7
3,31,2023,1143,9562,6680,138
5,24,2023,905,3225,2696,7
3,6,2023,543,3126,2847,7
10,5,2023,1030,10432,6561,78
8,7,2023,908,2863,2630,14
11,2,2023,971,1942,1753,12
10,17,2023,730,1973,1830,8
4,11,2023,544,3937,3660,11
5,2,2022,905,121,113,0
2,13,2023,1142,9359,7368,71
2,16,2022,1022,37,37,2
11,16,2023,1091,1857,1503,18
5,27,2022,725,1783,1309,1
4,26,2023,1084,1273,1114,1
9,19,2023,549,2229,2068,8
9,26,2022,849,2767,2645,11
4,13,2023,544,1822,1679,1
12,1,2023,492,1766,1432,7
8,8,2022,488,4845,4053,14
