Mes,Dia,Year,Hora,Impresiones,Alcance,Comentarios,Compartidos,Clics,Reacciones
01,19,2023,661,2179,1813,7,0,0,7
01,19,2023,901,7825,6677,121,34,2,157
01,23,2023,601,1687,1452,6,1,0,7
01,23,2023,661,2396,2170,0,0,0,0
01,23,2023,661,1995,1803,1,0,0,1
01,23,2023,961,6709,5970,82,3,2,87
01,24,2023,721,3006,2792,10,0,2,12
01,24,2023,721,15113,11236,134,45,8,187
01,25,2023,601,7290,6550,255,36,20,311
01,25,2023,901,5421,4806,12,0,2,14
01,26,2023,721,1776,1524,2,0,0,2
01,26,2023,961,11199,7749,136,3,5,144
01,27,2023,661,6434,5744,27,0,0,27
01,28,2023,721,1624,1416,9,0,0,9
01,28,2023,1021,3611,3014,18,0,0,18
01,01,2023,1,4361,3019,29,0,3,32
01,02,2023,541,7121,5772,34,0,1,35
05,03,2023,545,4464,3666,2,2,448,22
05,02,2023,1025,2898,2497,1,0,105,24
06,30,2023,1026,12079,8401,27,7,2670,180
06,30,2023,546,2649,2099,0,0,26,14
06,29,2023,1146,4092,3370,2,0,486,19
06,29,2023,1146,5863,4607,25,1,560,170
06,29,2023,1086,6626,5744,10,4,679,30
06,29,2023,1086,6852,5881,11,6,869,51
06,28,2023,666,3357,2745,0,1,41,2
06,28,2023,546,7187,5626,3,5,1102,72
06,27,2023,786,6984,6082,5,12,715,67
06,27,2023,546,3091,2559,0,0,34,2
06,26,2023,486,2419,1938,0,0,104,6
06,23,2023,726,5329,4196,11,9,138,117
06,22,2023,786,4349,3434,0,2,245,5
06,22,2023,666,3771,2827,1,2,82,4
06,22,2023,486,3631,2792,0,2,109,15
06,21,2023,966,5919,4859,3,1,965,29
06,21,2023,726,2066,1612,0,0,25,1
06,20,2023,726,3833,2904,0,2,85,19
06,19,2023,846,3788,2912,0,1,90,1
06,18,2023,546,3224,2497,1,0,41,27
06,16,2023,1206,2525,1860,0,0,17,2
06,16,2023,726,3594,2685,2,1,74,5
06,16,2023,666,6931,4365,3,5,550,25
06,16,2023,606,2427,1799,0,0,32,1
06,14,2023,1026,5152,4180,5,1,226,47
06,14,2023,906,2583,1902,0,0,62,15
06,14,2023,846,5222,4135,4,0,342,38
06,14,2023,546,3297,2434,0,1,38,4
06,14,2023,486,4018,3041,0,2,94,39
06,13,2023,846,2649,1953,1,5,43,9
06,13,2023,606,2659,2011,0,1,39,5
06,13,2023,606,7307,6132,17,7,768,198
06,12,2023,846,5180,4127,3,2,425,52
06,12,2023,726,4002,3145,0,4,85,3
06,12,2023,726,6896,5619,1,2,764,115
06,11,2023,1026,7844,6512,2,5,1271,43
06,11,2023,846,2456,1693,1,1,137,12
06,09,2023,666,2427,1746,1,0,135,4
06,08,2023,726,9873,6400,9,19,1361,171
06,08,2023,726,2495,1721,0,1,66,7
06,08,2023,726,2135,1526,0,0,48,1
06,07,2023,726,9828,7004,57,15,2058,174
06,07,2023,546,2489,1855,0,0,23,5
06,07,2023,546,2249,1646,0,0,20,1
