Hora de publicación,Impresiones,Alcance,Comentarios,Compartidos,Clics,Reacciones
06/09/2022 15:06,16122,11495,11,19,1627,144
06/09/2022 16:06,4414,2545,0,1,19,2
06/10/2022 09:06,3532,1935,0,0,16,0
06/10/2022 13:06,5828,3482,2,2,67,38
06/13/2022 09:06,7172,4744,3,1,717,11
06/18/2022 10:06,5979,3808,5,1,201,65
06/20/2022 13:06,4297,2424,0,0,31,2
06/29/2022 10:06,9162,6454,10,12,868,58
06/29/2022 13:06,6606,4243,0,4,210,3
06/29/2022 17:06,4379,2577,0,3,32,2
06/29/2022 17:06,5763,3412,0,4,107,6
06/30/2022 12:06,5838,3578,0,4,59,8
04/01/2022 15:04,61,58,0,1,1,3
04/01/2022 16:04,130,117,0,3,28,1
09/30/2022 16:09,1393,1202,0,0,1,11
09/30/2022 16:09,1648,1478,0,0,1,20
09/30/2022 16:09,2972,2616,2,0,1,46
09/30/2022 15:09,2878,2641,1,1,1,15
09/30/2022 10:09,2690,2501,0,1,1,11
09/29/2022 14:09,1323,1207,0,1,1,1
09/29/2022 14:09,1297,1164,0,1,1,1
09/29/2022 08:09,1538,1428,0,0,1,3
09/28/2022 15:09,2354,2196,0,1,1,5
09/28/2022 12:09,4375,4053,1,2,1,29
09/28/2022 08:09,1410,1275,0,1,1,2
09/28/2022 08:09,1899,1753,1,1,1,2
09/28/2022 08:09,1097,1005,0,1,1,1
09/28/2022 08:09,1559,1472,1,1,1,2
09/28/2022 08:09,897,834,0,1,1,1
09/28/2022 08:09,1702,1623,1,2,1,5
09/27/2022 16:09,11805,10410,110,10,1,437
09/27/2022 15:09,2391,2310,0,1,1,3
09/27/2022 15:09,3328,3225,1,0,1,11
09/27/2022 11:09,2584,2304,0,5,1,14
09/26/2022 14:09,2767,2645,2,2,1,11
09/26/2022 13:09,1688,1571,0,2,1,7
09/26/2022 13:09,3511,3397,1,2,1,24
09/26/2022 13:09,1685,1595,0,3,1,7
09/26/2022 13:09,862,782,0,2,1,2
09/26/2022 13:09,1176,1076,0,2,1,2
09/26/2022 11:09,3188,3094,1,4,1,15
09/26/2022 10:09,3713,3690,0,3,1,52
09/26/2022 09:09,3492,3211,1,7,1,102
09/24/2022 20:09,13176,11205,32,25,1,437
09/24/2022 13:09,8059,7775,4,10,1,141
09/23/2022 18:09,986,901,0,0,1,14
09/22/2022 21:09,2914,2715,0,2,1,24
09/22/2022 18:09,1457,1314,0,0,1,2
09/22/2022 18:09,7941,7402,10,5,1,186
09/22/2022 14:09,1011,918,0,1,1,25
09/22/2022 14:09,1120,948,1,6,1,17
09/22/2022 14:09,1231,1033,1,7,1,24
09/21/2022 08:09,1375,1243,0,1,1,2
09/19/2022 16:09,2691,2545,0,0,1,5
09/19/2022 16:09,2281,1972,0,4,1,6
09/19/2022 11:09,5237,4655,1,9,1,53
09/15/2022 23:09,4506,4196,0,0,1,27
09/14/2022 15:09,1443,1216,0,2,1,5
09/14/2022 15:09,5611,5227,6,4,1,20
09/14/2022 11:09,3237,2681,1,2,1,12
09/13/2022 08:09,3550,3136,1,4,3,4
09/12/2022 09:09,2148,1890,0,0,1,9
08/11/2022 08:08,2853,2187,0,2,1,0
08/08/2022 08:08,4845,4053,3,21,1,14
12/31/2022 08:12,3471,2580,0,0,1,28
12/25/2022 00:12,5037,3515,0,1,1,99
12/24/2022 08:12,3466,2477,0,0,1,12
12/16/2022 17:12,4693,3418,0,0,1,41
12/16/2022 09:12,3096,2204,0,0,1,3
12/16/2022 09:12,7739,5921,81,4,2,213
12/15/2022 11:12,3125,2350,0,0,1,12
12/14/2022 13:12,7255,5256,19,4,2,136
12/13/2022 14:12,6905,5409,5,2,3,83
12/13/2022 14:12,7047,5842,1,1,1,143
12/07/2022 15:12,7435,6267,4,3,1,287
12/05/2022 10:12,4721,3471,4,2,1,13
12/02/2022 09:12,8445,6421,3,4,1,56
12/01/2022 08:12,17913,14644,75,21,1,811
11/24/2022 16:11,8325,6274,9,8,1,76
11/23/2022 14:11,2419,2107,0,4,1,7
11/18/2022 08:11,19064,15991,136,53,1,1063
11/04/2022 14:11,8130,7388,15,10,1,160
11/01/2022 10:11,6367,6111,7,5,1,120
10/28/2022 09:10,7883,7178,6,3,1,204
10/28/2022 09:10,14435,12923,127,22,1,593
10/28/2022 09:10,3511,3131,0,5,1,13
10/24/2022 10:10,4611,4399,10,3,1,54
10/24/2022 10:10,3638,3482,1,2,1,47
10/24/2022 10:10,2323,2264,0,2,1,10
10/24/2022 10:10,2037,1862,0,2,1,4
10/24/2022 09:10,2254,2204,1,0,1,2
10/19/2022 12:10,3793,3499,0,3,1,1
10/19/2022 11:10,3784,3309,5,16,1,157
10/18/2022 19:10,1593,1483,0,1,1,14
10/18/2022 12:10,5954,5727,1,2,1,47
10/18/2022 11:10,3661,3350,0,12,1,34
10/17/2022 15:10,3389,3140,1,4,1,17
10/17/2022 15:10,2119,1977,0,1,1,6
10/14/2022 09:10,2659,2518,2,2,1,65
10/12/2022 10:10,4774,4203,4,4,1,134
10/12/2022 09:10,2741,2267,11,21,1,83
10/11/2022 08:10,9635,8458,117,12,1,337
10/03/2022 08:10,4906,4434,0,12,1,51
10/04/2022 08:10,5551,4578,5,10,1,46
10/05/2022 12:10,6500,5578,82,7,1,394
10/07/2022 05:10,13017,11187,41,29,1,258
03/09/2023 09:03,1945,1714,2,0,1,3
03/09/2023 10:03,8275,7644,384,7,4,395
03/09/2023 17:03,6592,4349,28,0,2,30
03/09/2023 17:03,4006,3612,14,0,0,14
03/09/2023 17:03,2517,2204,9,0,1,10
03/09/2023 17:03,8580,7580,115,28,4,147
03/10/2023 09:03,4848,4578,8,5,4,17
03/10/2023 09:03,5590,5255,10,3,1,14
